,User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
25,U26,32,Female,Professional,iOS,10.1,7.5,8,7.3,1,31,4,6.9
26,U27,46,Male,Business Owner,iOS,1.2,6.5,4,5.7,1,15,3,11.1
27,U28,55,Other,Student,iOS,9.7,6.1,1,6.3,1,18,2,5.1
28,U29,35,Male,Professional,iOS,11.7,1.6,1,4.9,1,42,4,4.7
29,U30,18,Other,Student,iOS,11.4,7.8,3,5.4,1,41,0,8.9
30,U31,28,Other,Student,Android,2.1,2.3,1,4.3,1,59,1,10.4
31,U32,45,Other,Freelancer,Android,5.8,3.8,4,5.9,1,25,0,7.9
32,U33,39,Other,Professional,Android,8.2,2.3,8,7.8,1,41,3,4.1
33,U34,35,Other,Freelancer,iOS,3.4,2.0,7,7.1,1,21,1,9.8
34,U35,27,Female,Student,Android,11.8,6.3,5,6.0,0,40,0,13.3
35,U36,31,Male,Freelancer,Android,7.1,2.0,9,8.4,0,58,0,6.1
36,U37,39,Female,Professional,iOS,3.8,2.4,9,4.4,0,46,1,5.3
37,U38,24,Male,Freelancer,iOS,3.9,6.4,6,7.9,0,57,1,5.1
38,U39,23,Other,Professional,Android,8.3,0.5,2,4.3,0,52,1,3.8
39,U40,42,Male,Student,iOS,1.8,2.0,2,6.6,1,54,4,7.0
40,U41,24,Male,Student,iOS,3.4,4.7,2,5.1,0,47,6,12.4
41,U42,40,Female,Professional,iOS,9.6,6.2,3,4.6,1,46,0,3.6
42,U43,40,Female,Student,iOS,1.2,0.6,5,7.9,1,6,0,5.1
43,U44,56,Male,Professional,Android,1.0,7.1,9,7.7,1,23,6,2.1
44,U45,34,Female,Professional,iOS,1.5,6.4,7,6.6,1,17,2,5.6
45,U46,20,Male,Student,iOS,9.0,0.9,6,8.7,0,56,5,8.6
46,U47,47,Female,Freelancer,iOS,5.5,6.9,10,5.1,1,6,6,2.1
47,U48,52,Male,Freelancer,iOS,5.2,4.9,9,7.1,0,6,4,6.9
48,U49,25,Female,Freelancer,iOS,10.4,1.5,9,4.3,1,37,5,9.0
49,U50,42,Male,Business Owner,iOS,8.1,4.5,4,5.6,0,26,3,9.8
50,U51,23,Female,Student,Android,9.7,6.0,1,8.6,0,34,6,10.1
51,U52,53,Female,Freelancer,Android,6.8,7.2,9,7.5,1,37,2,12.3
52,U53,36,Female,Freelancer,iOS,4.0,5.0,6,6.9,1,32,3,13.0
53,U54,58,Male,Professional,Android,6.0,7.3,2,4.5,0,33,4,9.1
54,U55,57,Female,Professional,Android,11.7,5.9,10,5.8,0,12,5,14.0
55,U56,41,Female,Professional,iOS,6.3,2.6,1,4.8,0,35,3,8.2
56,U57,54,Male,Student,Android,3.8,7.8,5,8.9,1,24,6,5.6
57,U58,30,Female,Professional,iOS,3.5,2.3,8,4.3,0,49,6,12.2
58,U59,22,Female,Freelancer,Android,2.0,7.9,5,4.9,1,40,5,2.7
59,U60,20,Male,Freelancer,Android,9.8,6.8,1,8.2,1,43,0,12.2
60,U61,60,Female,Freelancer,Android,1.4,4.7,6,7.2,1,5,2,6.4
61,U62,32,Male,Professional,Android,9.7,7.3,2,5.8,0,45,0,10.5
62,U63,36,Female,Professional,iOS,5.0,3.4,3,7.7,0,45,1,8.2
63,U64,23,Female,Freelancer,iOS,3.9,7.7,6,5.0,1,24,0,3.7
64,U65,32,Female,Freelancer,Android,5.7,5.2,8,5.7,0,16,6,2.7
65,U66,24,Female,Professional,iOS,5.7,1.8,7,5.4,0,31,6,7.6
66,U67,42,Other,Professional,Android,8.1,4.6,3,8.2,0,13,6,9.6
67,U68,35,Other,Professional,Android,3.7,4.2,10,5.6,0,58,4,11.3
68,U69,47,Other,Student,Android,10.2,2.4,4,5.3,1,16,4,5.4
69,U70,58,Other,Business Owner,iOS,7.4,8.0,10,4.7,1,41,5,9.6
70,U71,41,Other,Student,Android,3.7,0.9,2,7.2,1,55,0,12.4
71,U72,28,Male,Student,iOS,4.3,7.1,5,6.1,0,9,6,7.1
72,U73,41,Other,Freelancer,Android,11.5,4.6,6,6.6,1,52,3,11.1
73,U74,40,Female,Student,iOS,9.1,6.1,6,7.4,1,27,6,10.6
74,U75,31,Other,Freelancer,iOS,4.5,7.2,1,5.8,1,15,6,11.6
75,U76,60,Other,Student,Android,10.1,7.5,5,6.8,0,53,5,9.1
76,U77,35,Female,Student,Android,6.7,3.8,1,5.1,1,45,3,8.0
77,U78,59,Other,Business Owner,Android,10.2,5.5,10,5.0,1,60,5,12.0
78,U79,22,Female,Business Owner,iOS,6.6,3.0,6,7.0,1,36,2,12.8
79,U80,56,Female,Professional,iOS,1.6,4.7,7,7.6,1,8,4,11.5
80,U81,58,Male,Professional,iOS,4.7,3.8,10,7.6,0,32,3,11.1
81,U82,28,Other,Professional,iOS,11.7,3.9,4,4.6,0,6,6,3.0
82,U83,52,Other,Business Owner,Android,11.3,2.8,9,6.4,0,16,1,2.5
83,U84,33,Other,Professional,iOS,8.6,6.7,1,9.0,0,44,0,13.7
84,U85,28,Male,Freelancer,iOS,10.8,1.2,5,4.6,0,28,5,13.4
85,U86,47,Male,Student,Android,2.9,2.1,7,7.5,1,10,4,5.0
86,U87,42,Other,Student,iOS,9.3,7.1,5,7.9,0,26,6,8.9
87,U88,35,Female,Business Owner,Android,9.4,1.3,7,7.9,0,35,6,2.4
88,U89,58,Other,Professional,iOS,11.4,4.4,9,6.6,1,30,5,11.9
89,U90,53,Male,Freelancer,Android,10.3,7.9,10,4.9,1,20,3,11.7
90,U91,32,Female,Student,iOS,6.4,7.9,9,5.3,1,39,1,4.4
91,U92,38,Other,Freelancer,Android,10.3,3.3,9,4.7,1,33,1,7.6
92,U93,21,Other,Professional,Android,1.5,7.3,1,6.9,0,44,3,12.0
93,U94,32,Female,Freelancer,Android,1.4,2.3,1,5.3,0,11,1,10.5
94,U95,20,Female,Professional,iOS,3.7,4.3,10,4.1,1,15,2,10.6
95,U96,38,Male,Freelancer,iOS,3.0,5.0,7,7.5,1,16,6,7.6
96,U97,43,Male,Business Owner,iOS,8.7,2.7,4,6.5,0,25,4,4.7
97,U98,35,Other,Business Owner,iOS,5.5,6.4,3,5.5,1,29,5,8.6
98,U99,22,Male,Freelancer,Android,10.7,2.9,6,4.5,0,8,6,2.8
99,U100,31,Other,Student,iOS,9.4,2.8,3,7.6,1,35,3,13.7
100,U101,54,Male,Freelancer,Android,3.4,8.0,6,5.9,0,28,3,10.7
101,U102,38,Female,Freelancer,Android,1.3,1.5,6,5.2,0,17,1,11.3
102,U103,31,Male,Student,Android,4.6,6.4,4,8.2,1,10,0,13.7
103,U104,59,Other,Freelancer,Android,5.8,6.0,3,4.0,0,6,3,5.3
104,U105,49,Female,Business Owner,iOS,3.8,7.2,4,5.1,1,17,0,13.3
105,U106,43,Female,Student,iOS,1.3,6.9,3,7.3,0,28,1,9.8
106,U107,59,Other,Business Owner,iOS,9.9,1.9,3,7.3,1,21,6,9.8
107,U108,47,Male,Freelancer,iOS,7.8,7.9,1,5.0,1,46,1,8.3
108,U109,27,Female,Freelancer,iOS,11.8,6.5,3,8.7,1,46,3,13.7
109,U110,34,Male,Freelancer,Android,6.0,6.7,3,6.4,1,5,2,10.6
110,U111,26,Female,Business Owner,iOS,9.1,3.2,4,6.7,1,9,6,3.9
111,U112,33,Other,Professional,Android,9.4,5.7,7,5.2,0,38,3,11.9
112,U113,53,Female,Business Owner,iOS,10.3,6.8,1,5.3,0,44,5,9.9
113,U114,52,Male,Student,iOS,5.1,6.0,5,6.2,0,43,0,11.6
114,U115,34,Other,Student,Android,3.0,6.4,8,8.3,0,8,6,8.9
115,U116,55,Female,Business Owner,Android,8.8,1.1,4,5.3,0,56,0,6.5
116,U117,45,Female,Student,iOS,2.6,3.6,9,4.3,1,28,0,6.5
117,U118,55,Other,Freelancer,Android,4.9,6.7,10,6.7,1,53,1,2.9
118,U119,43,Other,Student,iOS,8.4,7.1,6,6.4,1,15,3,5.9
119,U120,41,Male,Professional,Android,7.2,1.6,4,8.9,1,16,3,12.9
120,U121,32,Female,Student,Android,5.5,7.2,3,5.8,0,43,5,9.3
121,U122,26,Female,Student,iOS,5.8,4.3,4,4.8,0,45,0,2.5
122,U123,50,Female,Business Owner,Android,3.9,7.5,1,4.6,0,12,1,7.9
123,U124,49,Female,Professional,iOS,6.2,3.8,8,8.7,1,20,5,10.9
124,U125,23,Male,Freelancer,iOS,3.7,1.7,10,7.4,0,10,0,6.0
125,U126,21,Male,Student,Android,5.2,4.0,7,6.8,1,26,4,2.3
126,U127,25,Female,Business Owner,Android,9.1,3.7,8,7.9,1,16,3,7.7
127,U128,27,Other,Student,Android,10.6,1.6,7,4.2,1,29,4,4.4
128,U129,58,Male,Professional,iOS,9.4,7.4,5,7.6,0,51,3,9.4
129,U130,28,Male,Professional,iOS,5.9,4.6,5,9.0,0,53,4,6.3
130,U131,45,Female,Business Owner,iOS,2.3,3.4,10,5.6,0,48,1,8.4
131,U132,56,Male,Professional,Android,5.6,6.1,1,6.4,1,29,6,10.3
132,U133,22,Female,Professional,Android,1.9,4.5,1,7.5,1,12,6,12.4
133,U134,42,Male,Business Owner,iOS,9.3,3.5,3,7.7,1,14,1,4.3
134,U135,42,Female,Student,iOS,5.1,0.8,7,8.6,0,6,1,13.9
135,U136,56,Female,Student,Android,3.1,1.4,7,7.7,1,57,5,4.8
136,U137,47,Female,Freelancer,Android,10.0,7.6,6,8.1,1,19,5,5.5
137,U138,51,Female,Business Owner,Android,7.8,3.7,4,7.4,0,58,1,11.2
138,U139,34,Male,Business Owner,Android,4.2,1.5,6,7.4,1,8,1,5.5
139,U140,53,Other,Business Owner,Android,2.5,3.3,1,8.0,1,51,2,9.0
140,U141,18,Male,Business Owner,Android,3.3,6.8,1,8.6,0,59,4,12.0
141,U142,25,Male,Freelancer,iOS,11.2,1.0,8,4.1,1,52,4,8.7
142,U143,52,Female,Professional,Android,2.4,4.1,6,7.0,1,21,2,7.3
143,U144,35,Other,Professional,Android,7.8,3.0,7,4.2,0,51,3,5.2
144,U145,59,Male,Business Owner,iOS,7.2,5.3,9,5.2,0,6,1,6.2
145,U146,39,Male,Freelancer,iOS,5.0,1.4,9,5.9,0,34,2,5.7
146,U147,25,Male,Student,Android,2.5,5.1,7,8.2,1,5,1,9.6
147,U148,36,Other,Business Owner,Android,6.2,1.4,5,6.4,1,36,0,8.8
148,U149,45,Female,Student,iOS,4.8,1.9,1,7.2,0,15,6,10.9
149,U150,28,Male,Freelancer,iOS,2.8,2.8,9,8.6,1,43,2,9.3
150,U151,47,Other,Business Owner,iOS,6.9,6.5,1,5.0,1,56,0,3.0
151,U152,18,Female,Freelancer,iOS,3.4,4.8,1,4.9,0,16,4,9.1
152,U153,34,Female,Freelancer,iOS,8.0,3.6,8,7.4,1,52,1,12.5
153,U154,50,Male,Professional,Android,9.8,3.6,8,4.6,1,59,5,7.3
154,U155,29,Male,Professional,iOS,7.5,5.9,4,5.6,1,24,0,8.5
155,U156,50,Other,Student,iOS,5.8,1.0,7,7.7,0,37,3,8.6
156,U157,24,Other,Professional,Android,3.1,6.7,5,6.2,0,16,2,12.8
157,U158,58,Female,Professional,iOS,5.2,3.2,2,5.7,1,19,6,6.7
158,U159,37,Female,Freelancer,Android,5.3,3.2,7,9.0,1,52,1,4.7
159,U160,58,Male,Student,iOS,3.9,4.5,10,8.1,1,15,1,11.3
160,U161,50,Other,Student,iOS,11.9,0.7,8,6.5,1,15,3,9.2
161,U162,56,Female,Professional,Android,5.0,2.9,2,5.7,1,30,5,13.5
162,U163,30,Male,Professional,iOS,4.9,7.5,5,6.3,0,27,3,11.9
163,U164,27,Female,Professional,Android,2.1,7.1,7,5.0,0,41,0,6.5
164,U165,41,Female,Student,Android,8.2,7.7,1,8.1,0,24,2,5.4
165,U166,28,Male,Student,iOS,2.4,7.8,7,6.1,1,41,2,5.7
166,U167,52,Female,Student,Android,11.5,6.2,3,4.2,0,27,5,2.8
167,U168,51,Female,Student,Android,3.9,0.6,2,8.8,0,55,3,8.7
168,U169,18,Other,Professional,Android,2.3,0.8,7,4.4,0,55,6,11.5
169,U170,56,Other,Freelancer,Android,11.0,7.3,1,6.1,0,40,1,8.4
170,U171,38,Other,Professional,Android,5.1,6.9,9,6.6,0,56,2,6.1
171,U172,49,Male,Freelancer,iOS,2.5,4.3,7,4.3,0,56,5,10.4
172,U173,19,Other,Student,Android,5.8,4.0,9,8.8,1,26,4,8.9
173,U174,25,Female,Freelancer,Android,11.1,1.2,2,5.2,0,10,5,2.1
174,U175,41,Other,Professional,Android,11.6,7.6,7,6.6,0,12,2,2.6
175,U176,37,Other,Professional,iOS,10.3,7.8,9,4.9,1,18,3,3.9
176,U177,33,Male,Student,Android,3.7,5.6,5,6.5,0,57,2,3.3
177,U178,21,Other,Professional,iOS,5.1,4.7,8,5.0,1,11,2,12.9
178,U179,33,Male,Student,Android,5.3,1.3,6,6.6,1,31,2,10.9
179,U180,54,Female,Freelancer,Android,7.9,2.2,1,4.4,0,51,1,12.5
180,U181,23,Male,Student,Android,3.8,6.5,10,6.1,0,41,4,7.3
181,U182,23,Female,Student,Android,10.2,2.9,2,5.0,1,49,3,9.6
182,U183,49,Male,Student,iOS,3.6,2.2,2,4.6,0,50,2,11.8
183,U184,22,Male,Student,iOS,5.9,5.6,8,4.9,0,52,2,7.7
184,U185,52,Female,Freelancer,iOS,2.7,5.2,6,7.4,0,23,3,11.6
185,U186,26,Male,Student,iOS,2.2,1.5,5,4.0,0,25,6,5.4
186,U187,26,Male,Business Owner,iOS,6.1,6.6,4,4.9,0,29,3,4.9
187,U188,60,Female,Business Owner,iOS,6.0,7.2,6,7.9,1,40,5,12.5
188,U189,48,Male,Freelancer,Android,2.5,2.9,1,6.7,1,46,5,8.2
189,U190,53,Other,Professional,Android,3.6,4.5,9,4.4,0,42,5,11.6
190,U191,28,Other,Freelancer,iOS,2.0,7.4,6,5.4,0,18,3,4.6
191,U192,34,Male,Business Owner,iOS,1.4,2.2,9,8.1,0,25,4,2.8
192,U193,51,Other,Student,Android,3.3,4.3,7,5.9,1,41,0,13.3
193,U194,56,Other,Freelancer,Android,3.0,7.6,4,6.8,0,39,0,9.0
194,U195,45,Male,Student,iOS,2.8,4.9,5,7.7,0,33,4,5.1
195,U196,31,Female,Student,iOS,4.5,5.6,5,7.4,0,30,0,7.2
196,U197,52,Other,Student,iOS,5.0,3.3,9,5.7,1,54,2,5.3
197,U198,30,Male,Freelancer,iOS,4.0,3.0,4,8.1,0,43,3,4.6
198,U199,37,Other,Freelancer,Android,8.4,5.0,4,8.6,0,49,1,3.6
199,U200,43,Male,Professional,iOS,8.4,1.0,8,8.6,0,26,4,7.9
200,U201,60,Male,Business Owner,Android,5.1,3.1,2,8.9,1,53,5,13.8
201,U202,59,Female,Student,iOS,2.5,2.8,5,7.8,0,17,3,13.6
202,U203,41,Female,Business Owner,iOS,5.3,1.4,10,8.4,0,17,1,6.8
203,U204,46,Male,Professional,iOS,1.8,4.5,6,8.5,1,5,4,11.9
204,U205,51,Female,Student,iOS,5.5,4.8,9,7.4,0,13,6,9.6
205,U206,46,Male,Business Owner,Android,6.6,1.7,7,8.6,0,11,5,12.5
206,U207,25,Male,Freelancer,iOS,7.5,6.0,2,8.3,1,15,5,9.6
207,U208,33,Male,Freelancer,Android,3.4,7.3,2,4.4,1,10,2,6.4
208,U209,32,Female,Business Owner,iOS,7.2,7.2,6,4.2,1,13,3,3.7
209,U210,22,Male,Student,iOS,1.9,5.7,4,6.4,0,58,6,4.2
210,U211,39,Female,Business Owner,iOS,2.5,4.3,9,6.8,1,48,5,7.2
211,U212,19,Female,Freelancer,iOS,11.1,5.4,5,5.5,0,6,5,12.6
212,U213,55,Other,Freelancer,iOS,11.4,2.1,1,5.2,0,13,1,7.1
213,U214,53,Female,Professional,Android,4.3,7.2,8,7.4,0,57,1,14.0
214,U215,32,Female,Professional,iOS,3.1,3.4,3,5.1,1,59,2,7.1
215,U216,55,Female,Freelancer,Android,7.0,5.9,9,5.3,0,52,2,6.7
216,U217,32,Female,Freelancer,Android,11.1,1.2,10,6.0,0,13,4,7.6
217,U218,18,Other,Business Owner,iOS,1.1,6.4,6,5.3,1,36,3,6.1
218,U219,22,Female,Business Owner,Android,8.5,3.5,5,7.0,0,5,2,12.5
219,U220,58,Other,Professional,Android,7.2,5.6,3,6.8,1,42,4,10.1
220,U221,21,Other,Student,iOS,4.5,3.0,10,4.3,1,27,0,6.1
221,U222,32,Male,Business Owner,Android,3.1,7.9,1,4.6,0,14,6,13.1
222,U223,22,Other,Student,iOS,6.5,6.9,2,4.4,1,17,1,7.7
223,U224,20,Other,Student,Android,2.6,2.0,10,7.1,0,23,3,4.2
224,U225,39,Female,Business Owner,Android,7.3,2.3,6,7.8,0,52,1,8.8
225,U226,22,Female,Business Owner,iOS,2.0,6.9,4,6.6,1,19,0,7.2
226,U227,50,Other,Freelancer,Android,10.9,7.8,5,7.0,1,15,4,13.8
227,U228,33,Female,Student,iOS,9.6,5.8,7,5.3,1,59,5,2.5
228,U229,35,Other,Business Owner,Android,10.3,2.9,7,8.8,1,41,0,3.6
229,U230,60,Other,Freelancer,Android,2.5,6.5,8,6.3,0,20,6,2.8
230,U231,49,Female,Business Owner,Android,4.9,5.0,9,5.3,0,29,3,13.6
231,U232,31,Female,Student,iOS,10.3,1.7,3,7.8,0,42,0,10.1
232,U233,52,Other,Student,iOS,4.8,3.4,8,6.1,1,12,3,8.9
233,U234,26,Other,Freelancer,Android,5.6,7.8,3,7.9,0,15,0,2.0
234,U235,54,Male,Professional,Android,10.3,7.6,7,7.6,0,45,3,11.4
235,U236,54,Other,Freelancer,iOS,8.5,5.8,3,5.2,1,37,4,12.5
236,U237,48,Female,Student,iOS,2.2,2.0,9,7.7,0,21,1,10.7
237,U238,33,Female,Business Owner,Android,6.2,6.4,8,4.6,0,29,1,2.6
238,U239,48,Other,Professional,iOS,6.0,5.6,8,7.8,0,41,0,9.9
239,U240,44,Other,Freelancer,iOS,2.9,3.3,7,6.7,0,26,6,3.5
240,U241,30,Male,Freelancer,iOS,10.1,0.9,1,5.3,1,50,6,13.6
241,U242,24,Male,Student,Android,3.1,2.6,1,8.0,0,40,2,8.5
242,U243,24,Male,Business Owner,Android,8.6,6.1,2,8.0,1,57,0,8.2
243,U244,60,Female,Business Owner,Android,4.8,7.5,6,4.8,0,46,2,6.1
244,U245,45,Female,Freelancer,iOS,10.7,2.4,1,5.5,0,54,6,7.1
245,U246,40,Female,Professional,iOS,6.7,1.8,3,4.6,0,10,1,10.9
246,U247,45,Other,Student,iOS,4.3,6.1,6,6.5,1,23,2,4.2
247,U248,44,Female,Freelancer,Android,10.0,1.8,2,8.3,1,60,1,2.5
248,U249,47,Male,Freelancer,Android,3.4,3.3,4,7.0,1,25,2,10.2
249,U250,21,Other,Freelancer,iOS,5.0,5.6,8,6.1,1,13,1,13.6
250,U251,59,Female,Business Owner,Android,2.6,0.5,8,8.8,1,44,1,3.4
251,U252,59,Female,Business Owner,iOS,3.1,4.9,8,7.3,0,59,2,10.0
252,U253,24,Other,Freelancer,iOS,10.6,7.3,10,4.7,0,18,2,8.8
253,U254,21,Female,Student,iOS,7.3,2.6,8,8.5,1,15,1,5.4
254,U255,43,Other,Business Owner,Android,4.3,3.2,1,7.9,1,30,5,9.7
255,U256,39,Other,Professional,iOS,5.3,5.9,6,5.3,0,11,0,12.1
256,U257,24,Male,Professional,iOS,3.1,2.9,5,8.1,0,56,4,9.5
257,U258,33,Other,Freelancer,Android,4.9,3.7,4,4.8,0,29,5,4.1
258,U259,30,Female,Professional,Android,2.7,2.4,7,4.8,0,26,3,14.0
259,U260,30,Male,Professional,iOS,3.4,3.1,10,4.8,0,58,4,7.0
260,U261,52,Female,Freelancer,iOS,11.7,4.8,7,5.5,1,15,2,6.6
261,U262,46,Other,Student,iOS,1.6,6.8,1,7.6,1,59,1,4.4
262,U263,26,Female,Freelancer,iOS,2.6,7.7,4,4.6,1,39,3,12.5
263,U264,45,Female,Student,Android,7.2,4.1,6,6.0,1,29,2,2.5
264,U265,29,Other,Student,Android,7.6,4.0,6,7.3,0,51,4,3.7
265,U266,35,Other,Professional,Android,10.1,7.6,2,7.6,0,12,2,2.0
266,U267,47,Male,Business Owner,iOS,2.9,4.8,3,7.7,0,54,4,6.1
267,U268,33,Male,Freelancer,iOS,3.6,6.2,5,9.0,0,36,0,12.0
268,U269,22,Male,Student,iOS,11.0,3.4,10,8.9,0,55,2,9.4
269,U270,46,Male,Business Owner,Android,4.4,2.5,6,5.5,1,11,1,13.7
270,U271,53,Male,Professional,Android,1.1,6.8,5,4.5,1,36,0,4.8
271,U272,24,Female,Business Owner,iOS,10.1,5.2,8,4.8,1,48,0,11.5
272,U273,21,Male,Freelancer,Android,9.3,2.7,8,7.2,0,23,3,12.7
273,U274,59,Other,Professional,Android,10.9,7.2,9,7.6,1,43,3,2.3
274,U275,52,Other,Student,iOS,9.5,1.7,3,6.6,0,41,5,3.0
275,U276,18,Male,Freelancer,iOS,6.9,4.3,8,6.6,1,41,3,3.5
276,U277,23,Male,Business Owner,iOS,10.4,5.9,5,6.8,0,13,6,8.9
277,U278,33,Female,Business Owner,Android,2.9,6.3,8,4.2,1,38,6,9.9
278,U279,28,Female,Student,Android,1.8,7.0,2,4.8,1,21,3,7.1
279,U280,44,Other,Freelancer,iOS,3.3,0.7,5,7.2,0,59,5,5.3
280,U281,49,Male,Professional,iOS,10.6,5.3,1,5.2,0,58,1,6.1
281,U282,48,Female,Professional,iOS,2.0,5.8,10,7.9,1,37,6,9.0
282,U283,31,Male,Student,iOS,11.9,6.1,2,7.5,0,40,0,5.0
283,U284,43,Female,Business Owner,iOS,8.4,5.6,4,7.8,1,34,5,5.2
284,U285,21,Male,Freelancer,iOS,5.3,2.8,8,8.1,0,19,3,13.7
285,U286,28,Male,Business Owner,Android,8.5,2.5,5,7.2,1,7,3,6.2
286,U287,42,Other,Freelancer,Android,9.0,3.8,10,5.2,0,31,4,3.7
287,U288,18,Other,Business Owner,Android,5.6,3.3,8,4.7,1,35,6,6.3
288,U289,42,Other,Professional,Android,5.6,7.6,5,4.3,1,13,6,11.4
289,U290,34,Male,Professional,iOS,5.4,0.6,8,6.9,0,12,4,9.0
290,U291,47,Male,Freelancer,Android,10.0,3.5,3,6.7,0,8,6,2.5
291,U292,36,Male,Business Owner,iOS,10.7,6.8,6,7.0,0,35,5,3.1
292,U293,45,Male,Student,iOS,3.2,0.9,1,4.0,0,55,4,5.4
293,U294,53,Other,Professional,iOS,9.0,7.6,10,8.4,1,13,2,10.5
294,U295,60,Female,Business Owner,iOS,6.2,2.0,3,6.1,0,29,1,3.5
295,U296,49,Other,Business Owner,iOS,8.6,5.5,7,6.0,0,15,1,8.7
296,U297,27,Other,Student,Android,2.4,1.5,6,8.3,0,19,5,6.9
297,U298,30,Male,Business Owner,iOS,7.9,7.0,5,8.1,1,18,6,10.8
298,U299,36,Other,Business Owner,Android,8.5,3.4,3,7.9,0,5,2,11.0
299,U300,31,Male,Student,iOS,8.8,1.7,4,4.6,1,59,5,2.4
300,U301,21,Male,Professional,Android,6.4,3.6,7,6.4,0,55,5,8.9
301,U302,55,Female,Student,iOS,10.8,1.0,2,4.3,1,44,5,11.0
302,U303,52,Female,Student,iOS,7.4,7.3,9,7.3,0,27,1,12.5
303,U304,21,Female,Professional,iOS,7.8,1.1,3,5.1,0,38,6,5.5
304,U305,38,Other,Student,iOS,1.4,1.8,2,8.5,1,52,5,11.4
305,U306,21,Male,Business Owner,Android,11.4,0.6,3,8.0,1,15,0,7.8
306,U307,21,Male,Freelancer,Android,6.1,5.0,1,5.9,0,59,0,7.7
307,U308,55,Male,Student,Android,11.5,6.1,5,8.3,1,27,1,6.2
308,U309,48,Female,Professional,iOS,7.4,1.3,3,4.2,0,14,5,14.0
309,U310,50,Male,Professional,iOS,2.0,5.6,8,7.0,1,59,6,8.8
310,U311,51,Other,Business Owner,Android,5.6,6.9,3,7.2,1,33,4,4.2
311,U312,28,Male,Freelancer,Android,10.6,7.6,4,7.5,0,41,0,11.5
312,U313,21,Male,Student,iOS,8.8,6.7,7,6.5,1,34,6,5.6
313,U314,50,Other,Student,iOS,8.3,3.0,5,4.7,1,49,3,13.5
314,U315,23,Male,Professional,Android,4.2,1.0,6,6.3,1,18,5,8.7
315,U316,29,Other,Student,iOS,1.5,3.4,2,6.1,1,52,0,13.7
316,U317,22,Other,Student,Android,10.9,6.6,7,5.2,1,14,2,6.4
317,U318,56,Other,Freelancer,iOS,11.5,6.6,5,7.0,1,5,2,8.5
318,U319,22,Other,Business Owner,Android,7.9,5.6,1,5.4,0,48,3,4.9
319,U320,33,Other,Professional,Android,6.0,1.4,4,8.4,1,21,4,4.6
320,U321,43,Other,Freelancer,iOS,6.2,2.3,6,4.3,1,49,1,8.7
321,U322,25,Female,Freelancer,iOS,4.4,1.2,3,7.6,1,57,1,4.4
322,U323,54,Male,Professional,iOS,5.0,7.9,3,4.6,1,46,2,11.7
323,U324,33,Male,Professional,Android,7.8,1.5,5,5.2,1,29,0,8.2
324,U325,55,Male,Student,Android,9.7,1.0,2,8.5,1,14,4,5.7
325,U326,56,Female,Business Owner,iOS,9.0,5.2,7,7.2,1,60,0,10.2
