,User_ID,Age,Gender,Occupation,Sleep_Hours,Daily_Screen_Hours,Weekend_Screen_Hours,Social_Media_Hours,Caffeine_Cups_Per_Day,Work_Productivity_Score,App_Usage_Count,Exercise_Hours_Per_Week,Daily_Work_Hours,Commute_Hours_Per_Day,Stress_Level,Stressed
74,SR01002,23.0,female,student,5.5,8.0,11.0,3.0,3.0,7.0,47.0,2.0,5.0,0.5,10,1
75,SR02139,28.0,male,healthcare worker,5.0,6.0,8.0,2.0,1.0,9.0,22.0,5.0,11.0,0.5,10,1
76,SR00712,33.0,female,teacher,8.0,9.0,11.5,3.5,4.0,6.0,22.0,3.0,7.138232953037941,1.5,10,1
77,SR02802,24.0,male,young professional,5.0,8.0,8.5,3.5,2.0,4.0,14.0,0.0,10.0,0.5,10,1
78,SR02528,39.0,male,young professional,8.0,5.0,6.0,4.0,3.0,6.0,29.0,5.0,6.0,1.0,7,0
79,SR03753,68.0,female,retired,9.0,5.0,5.5,1.5,2.0,9.0,5.0,3.0,0.0,0.0,2,0
80,SR03322,52.0,male,teacher,8.0,6.0,7.0,2.0,3.0,7.0,25.0,3.0,9.0,0.5,5,0
81,SR03182,30.0,male,student,5.5,8.0,11.0,7.0,2.0,6.0,25.0,3.0,5.0,0.0,10,1
82,SR04184,71.0,other,healthcare worker,6.0,3.0,3.5,2.66384778012685,1.0,6.0,21.0,5.0,8.0,0.5,7,0
83,SR01616,20.0,male,student,8.0,6.5,10.5,5.5,1.0,8.0,40.0,5.0,4.0,0.0,10,1
84,SR03025,19.0,other,student,8.5,5.0,6.0,1.0,0.0,5.0,48.0,3.0,5.0,0.0,10,0
85,SR01414,40.0,other,young professional,7.0,4.0,6.0,3.5,1.0,3.0,14.0,3.0,11.0,1.0,6,0
86,SR00764,28.0,other,healthcare worker,5.0,3.0,3.5,5.5,3.0,4.0,40.0,6.0,13.0,1.0,10,1
89,SR03850,19.0,other,student,5.5,6.5,9.5,7.0,1.0,5.0,47.0,4.0,4.0,0.5,10,1
90,SR04154,23.0,male,student,5.5,7.0,9.5,2.5,3.0,7.0,25.0,2.0,7.0,0.0,10,1
92,SR00158,43.0,male,teacher,0.5,6.5,9.0,0.0,2.0,7.0,26.0,1.0,9.0,0.5,8,0
93,SR01296,28.0,female,student,6.5,11.0,14.5,5.0,2.0,5.0,54.0,0.0,2.0,0.0,10,1
94,SR00498,54.0,female,business owner,7.0,6.0,8.5,1.5,4.0,6.0,34.0,0.0,11.0,1.0,10,1
96,SR02941,19.0,male,student,8.5,8.0,8.5,3.0,0.0,7.0,45.0,5.0,7.0,0.5,10,1
97,SR03457,21.0,female,student,6.0,6.5,9.0,2.5,1.0,7.0,44.0,2.0,7.0,1.5,10,1
100,SR01554,49.0,male,business owner,6.5,8.5,11.129711426205189,1.5,6.0,5.0,35.0,2.0,11.0,1.0,10,1
101,SR01670,19.0,male,student,6.5,8.5,10.5,5.0,1.0,8.0,45.0,0.0,8.0,0.5,10,0
102,SR02132,60.0,female,business owner,5.5,8.0,11.0,2.5,2.0,5.0,20.0,1.0,11.0,0.0,10,1
105,SR00249,38.0,female,business owner,3.5,12.5,14.5,2.66384778012685,1.0,9.0,26.0,4.0,9.0,1.0,10,0
107,SR01336,21.0,other,student,7.0,2.5,2.5,2.5,2.0,7.0,35.0,2.0,4.0,0.0,10,1
109,SR01339,48.0,other,business owner,7.5,5.0,7.0,0.5,2.0,6.0,34.0,4.0,12.0,1.0,10,1
110,SR01407,37.0,female,business owner,7.0,7.5,10.5,0.5,5.0,6.0,51.0,0.0,12.0,0.5,10,1
111,SR01091,19.0,male,student,4.0,6.0,8.5,2.0,3.0,5.0,34.0,1.0,6.0,0.0,10,1
113,SR00743,55.0,female,retired,6.5,1.0,4.0,4.5,0.0,8.0,16.938851727561197,6.0,0.0,0.0,6,0
114,SR02324,36.0,other,retired,9.5,3.5,4.5,1.5,0.0,9.0,29.0,6.0,0.0,0.5,0,0
115,SR03602,37.0,female,retired,7.0,4.5,7.5,1.5,0.0,9.0,19.0,3.0,2.0,0.0,5,0
116,SR02124,51.0,female,healthcare worker,8.5,1.0,1.0,3.0,1.0,5.0,23.0,2.0,16.0,1.5,10,1
117,SR02095,19.0,other,student,6.0,6.5,8.0,6.0,1.0,4.0,31.0,3.1847368421052633,3.0,0.5,10,0
119,SR02352,19.0,female,student,7.0,9.0,12.0,1.0,1.0,8.0,7.0,6.0,8.0,0.0,10,1
120,SR01371,26.0,other,healthcare worker,3.5,5.5,6.0,1.0,1.0,7.0,6.0,6.0,5.0,1.0,10,1
122,SR04817,48.0,female,teacher,7.0,3.5,3.5,0.5,0.0,4.0,11.0,0.0,6.0,1.5,6,0
123,SR00200,45.0,female,business owner,6.0,8.5,11.0,1.0,1.0,6.0,19.0,6.0,11.0,0.5,10,1
124,SR02281,25.0,other,teacher,9.5,6.5,9.0,2.0,0.0,7.0,6.0,1.0,10.0,0.5,6,0
125,SR04750,21.0,male,student,5.5,7.0,9.5,3.0,3.0,6.0,48.0,2.0,4.0,1.5,10,1
126,SR02221,27.0,other,student,6.5,8.5,10.0,3.5,2.0,5.0,49.0,0.0,6.0,0.0,10,1
127,SR04772,38.0,male,teacher,7.0,7.0,9.5,1.5,4.0,7.0,35.0,3.0,5.0,0.5,10,1
130,SR04257,19.0,male,student,9.5,5.5,5.5,5.5,5.0,10.0,34.0,7.0,4.0,0.5,1,0
131,SR03108,71.0,female,retired,6.5,1.5,1.0,2.5,2.0,10.0,32.0,5.0,0.0,0.5827832057037232,9,0
132,SR01974,39.0,male,freelancer,8.0,10.0,14.0,1.5,5.0,5.0,60.0,5.0,8.0,0.0,10,0
133,SR01376,19.0,male,student,6.5,3.5,3.5,2.0,3.0,8.0,21.0,3.0,2.0,0.5,5,0
135,SR04063,74.0,female,business owner,6.0,6.5,7.5,6.0,3.0,8.0,39.0,0.0,12.0,1.0,10,1
136,SR04446,79.0,other,retired,7.5,1.0,2.5,6.0,0.0,5.0,13.0,4.0,3.0,0.0,4,0
137,SR03558,26.0,female,freelancer,8.0,6.0,7.5,2.5,4.0,7.0,37.0,3.1847368421052633,8.0,0.0,10,0
138,SR00965,70.0,female,retired,8.0,7.5,11.0,0.0,1.0,9.0,36.0,1.0,1.0,0.5,10,1
139,SR00180,32.0,male,freelancer,6.5,7.0,9.0,2.0,3.0,9.0,25.0,4.0,8.0,0.5,7,0
140,SR03699,28.0,female,young professional,9.5,7.5,9.0,0.0,2.0,4.0,32.0,6.0,10.0,2.0,6,0
141,SR03822,20.0,male,student,6.0,7.0,9.5,5.5,3.0,6.0,27.0,5.0,3.0,1.0,10,1
142,SR04879,31.0,female,young professional,6.5,4.5,6.5,2.66384778012685,4.0,6.0,24.0,4.0,8.0,1.0,7,0
143,SR03900,18.0,female,student,9.5,9.0,11.0,5.5,4.0,6.0,30.0,3.1847368421052633,3.0,0.5,10,1
144,SR04488,37.0,male,healthcare worker,7.5,4.0,4.5,4.0,1.0,7.0,31.0,0.0,9.0,2.5,10,1
145,SR03239,42.0,female,healthcare worker,8.0,6.0,8.0,3.5,2.0,5.0,24.0,2.0,10.0,0.5,8,0
146,SR02975,20.0,male,student,10.0,5.0,6.5,6.0,2.0,8.0,27.0,1.0,7.138232953037941,1.0,8,0
147,SR03581,41.0,female,teacher,5.0,6.5,9.0,3.5,3.0,7.0,36.0,5.0,12.0,0.0,10,0
149,SR02576,73.0,male,retired,7.0,7.5,10.5,1.0,5.0,10.0,3.0,6.0,7.138232953037941,0.0,6,0
150,SR01420,19.0,male,student,9.0,4.0,4.5,5.5,3.0,8.0,25.0,0.0,5.0,0.0,5,0
151,SR03908,66.0,male,teacher,6.5,5.0,8.0,3.5,4.0,5.0,24.0,2.0,2.0,1.0,7,0
152,SR04674,30.0,female,healthcare worker,4.5,8.0,11.0,3.5,3.0,6.0,19.0,2.0,12.0,1.0,10,0
153,SR04903,74.0,male,retired,10.0,2.0,3.0,1.5,0.0,6.0,3.0,3.1847368421052633,3.0,0.5,0,0
154,SR01861,53.0,male,healthcare worker,6.5,7.0,10.5,4.0,2.0,8.0,42.0,2.0,10.0,0.5,10,1
157,SR02848,28.0,other,young professional,6.5,7.5,7.5,3.5,2.0,6.0,53.0,4.0,4.0,1.0,10,1
158,SR03665,45.0,male,young professional,7.5,9.5,12.0,3.0,1.0,4.0,63.0,4.0,13.0,1.0,10,1
159,SR00145,18.0,male,young professional,6.0,6.0,10.5,3.0,4.0,8.0,4.0,5.0,9.0,0.0,9,0
161,SR03144,54.0,other,young professional,8.5,11.0,15.0,0.0,3.0,7.0,50.0,3.0,10.0,1.5,10,1
163,SR01129,67.0,female,retired,9.0,5.0,5.5,0.0,2.0,8.0,32.0,4.0,1.0,0.0,6,0
164,SR00152,19.0,female,student,8.5,6.0,9.5,5.0,1.0,3.0,44.0,5.0,6.0,0.0,10,1
166,SR01053,54.0,female,retired,7.0,5.0,4.0,2.5,2.0,7.0,28.0,0.0,6.0,0.5,7,0
167,SR01591,76.0,male,retired,7.0,2.5,3.2734445371191736,0.5,0.0,7.0,35.0,1.0,6.0,0.5827832057037232,10,1
169,SR02030,19.0,other,student,7.0,5.0,3.0,2.66384778012685,4.0,7.0,31.0,0.0,4.0,1.0,10,1
170,SR03419,32.0,female,young professional,6.5,6.5,8.0,3.0,4.0,7.0,39.0,3.0,8.0,1.0,10,1
171,SR01808,50.0,male,business owner,5.5,9.0,12.5,2.66384778012685,6.0,7.0,45.0,4.0,11.0,1.0,10,1
172,SR02697,36.0,male,healthcare worker,6.0,5.0,8.5,2.5,2.0,7.0,32.0,2.0,12.0,1.0,10,1
173,SR03040,30.0,other,young professional,6.5,7.0,9.5,2.66384778012685,3.0,6.0,33.0,3.0,6.0,1.0,10,1
174,SR00473,74.0,male,retired,8.0,2.0,3.5,2.0,1.0,7.0,20.0,1.0,3.0,0.0,6,0
175,SR03290,66.0,other,business owner,6.5,5.5,7.0,2.0,2.0,5.0,34.0,2.0,9.0,1.0,10,1
176,SR04075,48.0,male,healthcare worker,6.5,4.5,5.892200166814512,1.5,3.0,6.0,23.0,2.0,11.0,1.0,7,0
178,SR00280,20.0,male,student,8.0,6.5,8.5,4.0,0.0,5.0,26.0,4.0,7.0,1.0,9,0
179,SR01742,25.0,female,young professional,5.5,7.5,9.82033361135752,1.5,3.0,7.0,42.0,6.0,7.0,1.0,10,1
180,SR04625,27.0,male,healthcare worker,7.0,1.0,1.0,6.5,4.0,6.0,31.0,6.0,9.0,1.0,7,0
181,SR02887,77.0,male,retired,5.5,1.0,1.0,3.5,0.0,8.0,22.0,7.0,2.0,0.5,6,0
182,SR01942,48.0,other,freelancer,8.0,5.0,8.0,2.0,0.0,3.0,34.0,2.0,13.0,0.0,10,1
183,SR00101,48.0,male,teacher,7.0,4.5,6.5,2.5,3.0,8.0,12.0,1.0,9.0,0.5,6,0
184,SR02805,55.0,female,retired,6.0,1.0,1.0,1.5,2.0,8.0,16.0,5.0,0.0,0.0,6,0
185,SR03571,28.0,female,young professional,7.0,7.5,9.5,1.0,1.0,10.0,21.0,4.0,7.0,2.0,9,0
186,SR03685,28.0,female,freelancer,6.0,5.5,7.0,2.66384778012685,1.0,6.0,52.0,1.0,8.0,0.5827832057037232,10,0
187,SR03662,24.0,female,healthcare worker,8.5,2.5,2.5,2.0,0.0,7.0,38.0,4.0,11.0,1.0,10,1
189,SR01887,74.0,male,retired,8.5,1.5,4.0,4.5,1.0,6.0,11.0,5.0,0.0,0.5,1,0
190,SR00682,68.0,other,retired,5.5,1.0,1.5,1.0,3.0,6.0,25.0,4.0,4.0,0.0,8,0
192,SR03945,24.0,female,freelancer,4.5,6.0,8.5,2.5,3.0,3.0,38.0,2.0,8.0,1.0,10,1
194,SR02019,59.0,male,student,7.0,6.5,10.5,6.5,4.0,4.0,30.569124936473372,0.0,4.0,0.5827832057037232,10,1
195,SR01097,32.0,male,business owner,8.0,4.5,5.5,4.0,3.0,7.0,33.0,4.0,10.0,0.5827832057037232,9,0
196,SR00830,20.0,female,student,6.0,10.5,12.0,4.5,0.0,4.0,36.0,0.0,4.0,0.0,10,1
198,SR03830,55.0,male,business owner,6.0,6.0,9.0,4.5,2.0,6.0,18.0,6.0,11.0,1.5,10,1
199,SR04382,32.0,other,teacher,5.5,1.0,1.5,2.5,3.0,6.0,29.0,3.0,9.0,1.0,10,1
200,SR03892,68.0,female,teacher,8.5,6.0,7.0,1.5,4.0,5.0,18.0,8.0,11.0,0.5,0,0
201,SR00765,20.0,other,student,7.5,10.0,11.5,5.0,2.0,5.0,53.0,3.0,6.0,0.0,10,1
202,SR02768,28.0,other,business owner,6.0,7.0,9.0,4.5,4.0,7.0,34.39609135123048,3.0,8.0,0.0,10,1
203,SR04329,72.0,male,retired,8.5,4.0,5.5,2.0,2.0,7.0,20.0,3.0,4.0,1.0,4,0
204,SR03296,20.0,female,student,7.0,5.5,8.5,2.66384778012685,2.0,6.0,34.77897124432885,0.0,6.0,0.5,10,1
205,SR02195,76.0,male,retired,7.5,5.0,5.5,1.0,2.0,7.0,30.0,1.0,2.0,0.0,8,0
207,SR03426,61.0,female,freelancer,6.5,7.5,11.0,5.0,3.0,4.0,24.0,4.0,9.0,0.5,10,1
208,SR03980,38.0,female,freelancer,10.0,5.0,5.0,0.0,7.0,6.0,33.0,4.0,8.0,0.5,6,0
209,SR00912,40.0,male,healthcare worker,4.5,7.5,8.5,4.0,1.0,8.0,34.69432680028596,0.0,12.0,0.5827832057037232,10,1
210,SR03146,33.0,female,business owner,4.5,7.0,6.0,1.5,4.0,3.0,23.0,1.0,8.0,1.5,10,1
211,SR01000,26.0,other,healthcare worker,5.5,8.5,9.0,2.0,3.0,5.0,38.0,3.0,12.0,1.0,10,0
212,SR03654,55.0,other,young professional,3.0,7.5,10.0,2.0,2.0,7.0,36.0,5.0,10.0,0.5,10,1
213,SR02484,21.0,female,young professional,8.5,5.0,8.0,2.0,3.0,7.0,48.0,5.0,5.0,1.5,10,1
215,SR02371,19.0,male,young professional,8.5,9.0,13.5,0.0,1.0,7.0,31.0,7.0,10.0,1.0,10,1
216,SR04839,59.0,female,healthcare worker,7.0,1.0,1.0,1.5,0.0,4.0,28.0,3.0,11.0,1.0,8,0
218,SR03790,40.0,female,teacher,7.0,1.5,3.5,1.0,1.0,9.0,12.0,3.1847368421052633,7.0,0.5,6,0
219,SR01021,25.0,male,young professional,5.5,2.5,4.0,4.5,1.0,7.0,28.0,6.0,9.0,1.0,10,1
220,SR01648,36.0,female,teacher,7.0,6.5,10.5,1.5,0.0,6.0,14.0,3.0,12.0,0.5,6,0
221,SR00734,21.0,female,freelancer,6.0,9.0,11.0,1.0,2.0,4.0,31.0,2.0,7.0,1.0,10,1
222,SR04583,19.0,female,student,7.5,10.0,13.0,4.0,0.0,4.0,20.0,0.0,8.0,0.5,10,1
223,SR03275,21.0,other,student,7.5,9.5,12.439089241052859,3.0,0.0,7.0,49.0,7.0,10.0,0.0,10,1
224,SR01621,58.0,male,retired,8.5,2.5,2.0,2.66384778012685,0.0,9.0,20.0,6.0,2.0,0.0,0,0
225,SR03136,27.0,male,freelancer,5.0,5.5,8.5,3.5,2.0,8.0,18.0,3.0,7.0,0.5,10,1
226,SR02690,39.0,female,retired,7.5,7.0,9.165644703933685,2.0,3.0,8.0,34.0,3.0,3.0,0.0,9,0
227,SR02708,21.0,male,young professional,8.0,4.0,3.5,3.5,1.0,6.0,33.0,7.0,12.0,1.0,8,0
228,SR00298,74.0,male,retired,10.0,6.5,7.5,3.0,1.0,5.0,3.0,3.0,0.0,0.0,4,1
229,SR02340,67.0,male,retired,7.5,3.5,4.0,3.5,1.0,9.0,7.0,2.0,2.0,0.0,6,0
230,SR00654,36.0,male,young professional,3.5,7.5,11.5,2.66384778012685,4.0,7.0,21.0,4.0,10.0,1.5,10,1
231,SR03775,20.0,other,student,8.0,6.0,7.0,3.5,2.0,6.0,23.0,3.0,6.0,0.0,7,0
232,SR01256,32.0,female,young professional,7.5,8.0,11.0,5.5,1.0,6.0,32.0,1.0,10.0,1.0,10,1
233,SR04521,27.0,male,young professional,6.5,5.0,7.5,0.5,3.0,5.0,19.0,4.0,5.0,0.5,6,0
234,SR00231,27.0,other,freelancer,5.0,6.5,9.5,1.5,4.0,8.0,41.0,4.0,9.0,0.5,10,1
237,SR00692,32.0,female,freelancer,8.5,10.0,15.0,0.5,3.0,10.0,50.0,4.0,7.0,0.5,10,1
238,SR02755,19.0,female,student,4.0,11.0,15.0,1.0,2.0,6.0,36.0,3.0,2.0,0.5,10,1
239,SR04864,43.0,female,teacher,5.5,6.0,8.0,2.0,2.0,6.0,30.0,4.0,10.0,0.5,10,1
240,SR00970,32.0,male,healthcare worker,3.5,5.0,3.5,2.0,3.0,9.0,50.0,4.0,7.0,0.0,10,1
241,SR00634,20.0,female,student,8.0,6.5,7.5,2.5,3.0,5.0,54.0,4.0,3.0,0.0,10,1
242,SR04093,40.0,female,business owner,5.0,9.0,13.0,1.0,0.0,4.0,39.0,3.0,16.0,0.0,10,1
243,SR04078,26.0,female,young professional,7.0,6.0,8.0,2.0,2.0,8.0,26.0,4.0,10.0,0.5,6,0
244,SR01322,37.0,female,business owner,5.5,6.5,7.5,1.0,2.0,4.0,48.0,1.0,11.0,0.5,10,1
245,SR01832,62.0,male,business owner,9.5,6.5,8.5,2.5,3.0,5.0,20.0,0.0,14.0,0.5,8,0
246,SR02179,36.0,male,young professional,4.0,3.5,2.5,2.0,4.0,8.0,25.0,0.0,8.0,0.5,10,1
247,SR01418,72.0,female,retired,9.0,1.5,2.5,0.5,3.0,7.0,10.0,5.0,0.0,0.0,1,1
248,SR01783,18.0,female,student,5.5,8.0,9.0,4.0,2.0,5.0,18.0,0.0,5.0,0.0,10,1
250,SR04702,27.0,female,student,4.0,6.0,8.0,3.0,2.0,6.0,50.0,3.0,4.0,0.0,10,1
251,SR04119,36.0,female,young professional,7.5,5.5,7.5,4.0,1.0,9.0,27.0,5.0,9.0,1.5,6,0
252,SR01653,42.0,male,healthcare worker,3.5,2.0,2.5,0.0,4.0,9.0,3.0,3.0,12.0,0.5,10,1
253,SR01484,41.0,female,business owner,8.0,10.0,12.5,2.5,5.0,7.0,30.0,2.0,9.0,1.0,10,1
254,SR02276,38.0,other,teacher,6.0,4.0,6.5,1.5,3.0,4.0,32.0,4.0,11.0,1.0,10,1
255,SR00878,35.0,female,young professional,4.5,10.5,13.748467055900528,2.5,4.0,4.0,24.0,2.0,4.0,1.0,10,1
256,SR03526,23.0,female,young professional,6.0,10.5,11.5,4.0,1.0,6.0,36.0,3.1847368421052633,9.0,0.5,10,1
258,SR00427,55.0,other,young professional,7.0,5.5,7.5,3.0,4.0,5.0,37.0,4.0,5.0,0.5,10,0
260,SR01590,48.0,male,teacher,9.0,8.0,10.475022518781355,1.0,2.0,6.0,34.0,1.0,9.0,0.5,10,1
261,SR02224,44.0,male,retired,8.5,5.5,8.0,1.5,1.0,5.0,17.0,3.0,4.0,0.0,5,1
262,SR02218,24.0,other,freelancer,7.5,10.0,13.093778148476694,7.0,3.0,7.0,42.0,0.0,9.0,0.5,10,1
263,SR04484,76.0,female,retired,6.5,5.0,9.0,0.0,1.0,3.0,19.0,5.0,1.0,0.5,5,0
264,SR01486,38.0,male,teacher,8.0,6.0,12.0,2.5,3.0,6.0,27.0,4.0,11.0,0.0,6,0
265,SR01740,32.0,male,young professional,7.0,6.5,7.5,2.5,2.0,4.0,30.0,3.0,10.0,0.5,10,1
267,SR02585,50.0,female,young professional,8.0,7.0,8.5,2.5,4.0,10.0,43.0,3.0,14.0,0.5,10,1
268,SR02894,73.0,female,retired,5.0,4.0,5.5,2.5,0.0,6.0,11.0,5.0,5.0,0.0,10,1
270,SR00677,39.0,male,freelancer,7.5,10.5,13.5,2.0,3.0,10.0,33.0,3.0,10.0,1.0,10,1
271,SR01262,21.0,male,student,7.5,5.0,7.0,1.5,5.0,5.0,58.0,0.0,6.0,0.0,10,1
272,SR04918,22.0,female,student,6.5,7.5,12.0,2.0,5.0,8.0,44.0,2.0,4.0,0.5827832057037232,10,1
273,SR00013,26.0,male,young professional,5.5,6.0,7.5,1.0,4.0,8.0,38.0,3.0,9.0,1.0,10,1
275,SR03249,32.0,other,freelancer,7.5,9.0,12.5,1.0,3.0,4.0,48.0,6.0,8.0,0.5,10,1
276,SR01492,30.0,male,healthcare worker,6.5,7.5,9.0,0.5,2.0,6.0,22.0,4.0,11.0,1.0,8,0
278,SR03687,40.0,male,freelancer,7.5,6.0,5.5,3.5,2.0,5.0,24.0,5.0,8.0,1.0,6,0
