User_ID,Age,Gender,Occupation,Sleep_Hours,Daily_Screen_Hours,Weekend_Screen_Hours,Social_Media_Hours,Caffeine_Cups_Per_Day,Work_Productivity_Score,App_Usage_Count,Exercise_Hours_Per_Week,Daily_Work_Hours,Commute_Hours_Per_Day,Stress_Level,Stressed
SR01908,69.0,Female,Retired,5.5,6.5,5.5,2.5,50.0,9.0,3.0,5.0,4.0,,10,0
SR00085,25.0,Non-binary,Young Professional,9.5,9.5,12.0,3.0,3.0,6.0,31.0,,10.0,0.5,10,1
SR00228,40.0,Male,Retired,7.0,4.5,5.5,,2.0,10.0,27.0,3.0,3.0,0.5,4,1
SR00297,38.0,Woman,Teacher,9.5,4.0,,3.5,6.0,10.0,13.0,3.0,4.0,0.0,1,0
SR01002,23.0,  Female ,Student,5.5,8.0,11.0,3.0,3.0,7.0,47.0,2.0,5.0,0.5,10,1
SR02139,28.0,Male,Healthcare Worker,5.0,6.0,8.0,2.0,1.0,9.0,22.0,5.0,11.0,0.5,10,1
SR00712,33.0,Female,Techer,8.0,9.0,11.5,3.5,4.0,,22.0,3.0,,1.5,10,1
SR02802,24.0,Male,Young Professional,5.0,8.0,8.5,3.5,2.0,4.0,14.0,0.0,10.0,0.5,10,1
SR02528,39.0,male,Young Professional,8.0,5.0,6.0,4.0,3.0,6.0,29.0,5.0,6.0,1.0,7,0
SR03753,68.0,Female,Retired,9.0,5.0,5.5,1.5,2.0,9.0,5.0,3.0,0.0,0.0,2,0
SR03322,52.0,Male,Teacher,8.0,6.0,7.0,2.0,3.0,7.0,25.0,3.0,9.0,0.5,5,0
SR03182,30.0,  Male ,Student,5.5,8.0,11.0,7.0,2.0,6.0,25.0,3.0,5.0,0.0,10,1
SR04184,71.0,Other,Healthcare Worker,6.0,3.0,3.5,,1.0,6.0,21.0,5.0,8.0,0.5,7,0
SR01616,20.0,Male,Student,8.0,6.5,10.5,5.5,1.0,8.0,40.0,5.0,4.0,0.0,10,1
SR03025,19.0,nonbinary,Student,8.5,5.0,6.0,1.0,0.0,5.0,48.0,3.0,5.0,0.0,10,0
SR01414,40.0,Non-binary,Yng Professional,7.0,4.0,6.0,3.5,1.0,3.0,14.0,3.0,11.0,1.0,6,0
SR00764,28.0,Non-binary,Healthcare Worker,5.0,3.0,3.5,5.5,3.0,4.0,40.0,6.0,13.0,1.0,10,1
SR00656,51.0,Male,Bussiness Owner,6.5,10.0,14.0,4.5,,7.0,29.0,4.0,15.0,1.0,10,1
SR04798,,Male,Retired,5.5,4.0,,1.0,1.0,7.0,15.0,3.0,2.0,0.5,8,0
SR03850,19.0,Other,Student,5.5,6.5,9.5,7.0,1.0,5.0,47.0,4.0,4.0,0.5,10,1
SR04154,23.0,Man,Student,5.5,7.0,9.5,2.5,3.0,7.0,25.0,2.0,7.0,0.0,10,1
SR00469,,Male,Student,9.0,11.0,14.5,6.0,2.0,4.0,29.0,2.0,11.0,1.0,10,1
SR00158,43.0,Male,Teacher,0.5,6.5,9.0,0.0,2.0,7.0,26.0,1.0,9.0,0.5,8,0
SR01296,28.0,Female,Student,6.5,11.0,14.5,5.0,2.0,5.0,54.0,0.0,2.0,0.0,10,1
SR00498,54.0,Female,Business Owner,7.0,6.0,8.5,1.5,4.0,6.0,34.0,0.0,11.0,1.0,10,1
SR04741,120.0,Male,Retired,6.5,7.0,11.0,2.5,1.0,10.0,30.0,6.0,0.0,0.0,10,1
SR02941,19.0,Male,Student,8.5,8.0,8.5,3.0,0.0,7.0,45.0,5.0,7.0,0.5,10,1
SR03457,21.0,Female,Student,6.0,6.5,9.0,2.5,1.0,7.0,44.0,2.0,7.0,1.5,10,1
SR00374,,Female,Retired,11.0,5.0,5.0,3.5,2.0,,3.0,5.0,1.0,1.0,0,0
SR00080,40.0,Male,Healthcare Worker,8.5,2.0,2.0,1.5,30.0,5.0,35.0,3.0,11.0,0.5,10,1
SR01554,49.0,Male,Business Owner,6.5,8.5,,1.5,6.0,5.0,35.0,2.0,11.0,1.0,10,1
SR01670,19.0,male,Student,6.5,8.5,10.5,5.0,1.0,8.0,45.0,0.0,8.0,0.5,10,0
SR02132,60.0,FEMALE,Business Owner,5.5,8.0,11.0,2.5,2.0,5.0,20.0,1.0,11.0,0.0,10,1
SR04440,,Female,Retired,10.5,5.0,6.5,2.5,0.0,,21.0,4.0,0.0,0.5,2,0
SR00466,39.0,Male,Business Owner,,7.5,10.0,2.5,0.0,4.0,31.0,0.0,10.0,1.0,10,1
SR00249,38.0,Female,Business Owner,3.5,12.5,14.5,,1.0,9.0,26.0,4.0,9.0,1.0,10,0
SR00932,42.0,Male,Yng Professional,8.0,,8.5,2.0,4.0,8.0,27.0,4.0,10.0,1.0,5,0
SR01336,21.0,Non-binary,Student,7.0,2.5,2.5,2.5,2.0,7.0,35.0,2.0,4.0,0.0,10,1
SR04525,20.0,Non-binary,Student,,2.0,1.0,4.0,1.0,5.0,27.0,1.0,4.0,0.5,7,0
SR01339,48.0,Non-binary,Business Owner,7.5,5.0,7.0,0.5,2.0,6.0,34.0,4.0,12.0,1.0,10,1
SR01407,37.0,Female,Business Owner,7.0,7.5,10.5,0.5,5.0,6.0,51.0,0.0,12.0,0.5,10,1
SR01091,19.0,Male,Student,4.0,6.0,8.5,2.0,3.0,5.0,34.0,1.0,6.0,0.0,10,1
SR04210,39.0,Non-binary,Healthcare Worker,6.5,6.0,8.0,4.5,,7.0,32.0,5.0,11.0,2.0,10,1
SR00743,55.0,Female,Retired,6.5,1.0,4.0,4.5,0.0,8.0,,6.0,0.0,0.0,6,0
SR02324,36.0,Other,Retired,9.5,3.5,4.5,1.5,0.0,9.0,29.0,6.0,0.0,0.5,0,0
SR03602,37.0,Female,Retired,7.0,4.5,7.5,1.5,0.0,9.0,19.0,3.0,2.0,0.0,5,0
SR02124,51.0,Female,Healthcare Worker,8.5,1.0,1.0,3.0,1.0,5.0,23.0,2.0,16.0,1.5,10,1
SR02095,19.0,Woman,Student,6.0,6.5,8.0,6.0,1.0,4.0,31.0,,3.0,0.5,10,0
SR00241,,Male,Young Professional,7.0,6.0,6.5,3.0,5.0,6.0,31.0,4.0,10.0,1.0,10,1
SR02352,19.0,Female,Student,7.0,9.0,12.0,1.0,1.0,8.0,7.0,6.0,8.0,0.0,10,1
SR01371,26.0,Non-binary,Healthcare Worker,3.5,5.5,6.0,1.0,1.0,7.0,6.0,6.0,5.0,1.0,10,1
SR01058,41.0,Female,Retired,6.5,4.5,6.0,3.0,1.0,7.0,,3.0,,0.0,5,0
SR04817,48.0,Female,Teacher,7.0,3.5,3.5,0.5,0.0,4.0,11.0,0.0,6.0,1.5,6,0
SR00200,45.0,Female,Business Owner,6.0,8.5,11.0,1.0,1.0,6.0,19.0,6.0,11.0,0.5,10,1
SR02281,25.0,Non-binary,Teacher,9.5,6.5,9.0,2.0,0.0,7.0,6.0,1.0,10.0,0.5,6,0
SR04750,21.0,Male,Student,5.5,7.0,9.5,3.0,3.0,6.0,48.0,2.0,4.0,1.5,10,1
SR02221,27.0,Non-binary,Student,6.5,8.5,10.0,3.5,2.0,5.0,49.0,0.0,6.0,0.0,10,1
SR04772,38.0,Male,Teacher,7.0,7.0,9.5,1.5,4.0,7.0,35.0,3.0,5.0,0.5,10,1
SR02820,76.0,Male,Freelancer,7.0,12.0,14.5,0.0,,4.0,65.0,2.0,13.0,1.5,10,1
SR03151,19.0,Female,Student,6.0,,8.5,4.0,1.0,7.0,28.0,1.0,7.0,0.5,9,0
SR04257,19.0,Male,Student,9.5,5.5,5.5,5.5,5.0,10.0,34.0,7.0,4.0,0.5,1,0
SR03108,71.0,Female,Retired,6.5,1.5,1.0,2.5,2.0,10.0,32.0,5.0,0.0,,9,0
SR01974,39.0,Male,Freelancer,8.0,10.0,14.0,1.5,5.0,5.0,60.0,5.0,8.0,0.0,10,0
SR01376,19.0,Male,Student,6.5,3.5,3.5,2.0,3.0,8.0,21.0,3.0,2.0,0.5,5,0
SR03969,,Female,Healthcare Worker,6.0,6.0,9.5,2.5,0.0,8.0,35.0,0.0,10.0,1.0,10,1
SR04063,74.0,Female,Business Owner,6.0,6.5,7.5,6.0,3.0,8.0,39.0,0.0,12.0,1.0,10,1
SR04446,79.0,Non-binary,Retired,7.5,1.0,2.5,6.0,0.0,5.0,13.0,4.0,3.0,0.0,4,0
SR03558,26.0,Female,Freelancer,8.0,6.0,7.5,2.5,4.0,7.0,37.0,,8.0,0.0,10,0
SR00965,70.0,Female,Retired,8.0,7.5,11.0,0.0,1.0,9.0,36.0,1.0,1.0,0.5,10,1
SR00180,32.0,Male,Freelancer,6.5,7.0,9.0,2.0,3.0,9.0,25.0,4.0,8.0,0.5,7,0
SR03699,28.0,Female,young professional,9.5,7.5,9.0,0.0,2.0,4.0,32.0,6.0,10.0,2.0,6,0
SR03822,20.0,MALE,Student,6.0,7.0,9.5,5.5,3.0,6.0,27.0,5.0,3.0,1.0,10,1
SR04879,31.0,Female,Young Professional,6.5,4.5,6.5,,4.0,6.0,24.0,4.0,8.0,1.0,7,0
SR03900,18.0,Female,Student,9.5,9.0,11.0,5.5,4.0,,30.0,,3.0,0.5,10,1
SR04488,37.0,Male,Healthcare Worker,7.5,4.0,4.5,4.0,1.0,7.0,31.0,0.0,9.0,2.5,10,1
SR03239,42.0,FEMALE,Healthcare Worker,8.0,6.0,8.0,3.5,2.0,5.0,24.0,2.0,10.0,0.5,8,0
SR02975,20.0,Male,Student,10.0,5.0,6.5,6.0,2.0,8.0,27.0,1.0,,1.0,8,0
SR03581,41.0,Female,Teacher,5.0,6.5,9.0,3.5,3.0,7.0,36.0,5.0,12.0,0.0,10,0
SR02888,62.0,Male,Retired,8.0,6.5,8.5,0.0,4.0,5.0,,7.0,,0.0,1,0
SR02576,73.0,Male,Retired,7.0,7.5,10.5,1.0,5.0,10.0,3.0,6.0,,0.0,6,0
SR01420,19.0,Male,Student,9.0,4.0,4.5,5.5,3.0,8.0,25.0,0.0,5.0,0.0,5,0
SR03908,66.0,Male,Teacher,6.5,5.0,8.0,3.5,4.0,5.0,24.0,2.0,2.0,1.0,7,0
SR04674,30.0,Female,Healthcare Worker,4.5,8.0,11.0,3.5,3.0,6.0,19.0,2.0,12.0,1.0,10,0
SR04903,74.0,Male,Retired,10.0,2.0,3.0,1.5,0.0,6.0,3.0,,3.0,0.5,0,0
SR01861,53.0,Male,Healthcare Worker,6.5,7.0,10.5,4.0,2.0,8.0,42.0,2.0,10.0,0.5,10,1
SR00009,74.0,Male,Retired,6.0,1.0,3.0,3.5,,6.0,3.0,7.0,1.0,0.0,6,0
SR02895,19.0,Female,Student,4.5,,7.5,1.0,2.0,8.0,44.0,1.0,8.0,0.0,10,1
SR02848,28.0,Other,Young Professional,6.5,7.5,7.5,3.5,2.0,,53.0,4.0,4.0,1.0,10,1
SR03665,45.0,Male,Young Professional,7.5,9.5,12.0,3.0,1.0,4.0,63.0,4.0,13.0,1.0,10,1
SR00145,18.0,Male,Young Professional,6.0,6.0,10.5,3.0,4.0,8.0,4.0,5.0,9.0,0.0,9,0
SR02105,-5.0,Male,Teacher,8.0,6.5,9.0,2.5,2.0,,30.0,1.0,4.0,0.5,8,0
SR03144,54.0,Non-binary,Young Professional,8.5,11.0,15.0,0.0,3.0,7.0,50.0,3.0,10.0,1.5,10,1
SR00842,50.0,Female,teacher,6.5,5.5,9.5,4.5,,5.0,32.0,2.0,8.0,0.5,10,1
SR01129,67.0,Female,Retired,9.0,5.0,5.5,0.0,2.0,8.0,32.0,4.0,1.0,0.0,6,0
SR00152,19.0,Female,Student,8.5,6.0,9.5,5.0,1.0,3.0,44.0,5.0,6.0,0.0,10,1
SR03592,37.0,Male,Freelancer,6.5,5.0,,1.0,,5.0,23.0,0.0,9.0,0.0,7,0
SR01053,54.0,Female,Retired,7.0,5.0,4.0,2.5,2.0,7.0,28.0,0.0,6.0,0.5,7,0
SR01591,76.0,Male,Retired,7.0,2.5,,0.5,0.0,7.0,35.0,1.0,6.0,,10,1
SR03009,120.0,Female,Healthcare Worker,4.0,1.0,2.0,0.0,3.0,8.0,23.0,3.0,9.0,1.5,10,0
SR02030,19.0,Other,Student,7.0,5.0,3.0,,4.0,7.0,31.0,0.0,4.0,1.0,10,1
SR03419,32.0,Female,Young Professional,6.5,6.5,8.0,3.0,4.0,7.0,39.0,3.0,8.0,1.0,10,1
SR01808,50.0,Male,Bussiness Owner,5.5,9.0,12.5,,6.0,7.0,45.0,4.0,11.0,1.0,10,1
SR02697,36.0,Male,Healthcare Worker,6.0,5.0,8.5,2.5,2.0,7.0,32.0,2.0,12.0,1.0,10,1
SR03040,30.0,Non-binary,Young Professional,6.5,7.0,9.5,,3.0,6.0,33.0,3.0,6.0,1.0,10,1
SR00473,74.0,Male,Retired,8.0,2.0,3.5,2.0,1.0,7.0,20.0,1.0,3.0,0.0,6,0
SR03290,66.0,Non-binary,Business Owner,6.5,5.5,7.0,2.0,2.0,5.0,34.0,2.0,9.0,1.0,10,1
SR04075,48.0,Male,Healthcare Worker,6.5,4.5,,1.5,3.0,6.0,23.0,2.0,11.0,1.0,7,0
SR03497,31.0,Female,Young Professional,,6.5,9.0,1.5,2.0,5.0,34.0,2.0,9.0,1.5,10,1
SR00280,20.0,Male,Student,8.0,6.5,8.5,4.0,0.0,5.0,26.0,4.0,7.0,1.0,9,0
SR01742,25.0,Female,Young Professional,5.5,7.5,,1.5,3.0,7.0,42.0,6.0,7.0,1.0,10,1
SR04625,27.0,Male,Healthcare Worker,7.0,1.0,1.0,6.5,4.0,6.0,31.0,6.0,9.0,1.0,7,0
SR02887,77.0,Male,Retired,5.5,1.0,1.0,3.5,0.0,8.0,22.0,7.0,2.0,0.5,6,0
SR01942,48.0,Other,Freelancer,8.0,5.0,8.0,2.0,0.0,3.0,34.0,2.0,13.0,0.0,10,1
SR00101,48.0,Male,Teacher,7.0,4.5,6.5,2.5,3.0,8.0,12.0,1.0,9.0,0.5,6,0
SR02805,55.0,F,Retired,6.0,1.0,1.0,1.5,2.0,8.0,16.0,5.0,0.0,0.0,6,0
SR03571,28.0,Female,Young Professional,7.0,7.5,9.5,1.0,1.0,10.0,21.0,4.0,7.0,2.0,9,0
SR03685,28.0,Female,Freelancer,6.0,5.5,7.0,,1.0,6.0,52.0,1.0,8.0,,10,0
SR03662,24.0,Female,Healthcare Worker,8.5,2.5,2.5,2.0,0.0,7.0,38.0,4.0,11.0,1.0,10,1
SR00531,200.0,Female,Freelancer,6.5,6.5,9.0,2.0,2.0,8.0,16.0,3.0,8.0,0.0,6,0
SR01887,74.0,Male,Retired,8.5,1.5,4.0,4.5,1.0,6.0,11.0,5.0,0.0,0.5,1,0
SR00682,68.0,Non-binary,Retired,5.5,1.0,1.5,1.0,3.0,6.0,25.0,4.0,4.0,0.0,8,0
SR03795,53.0,Male,retired,,4.5,9.0,3.0,2.0,8.0,4.0,3.0,2.0,0.5,3,0
SR03945,24.0,Female,Freelancer,4.5,6.0,8.5,2.5,3.0,3.0,38.0,2.0,8.0,1.0,10,1
SR04667,,Female,Freelancer,9.0,9.5,12.5,0.5,4.0,7.0,39.0,3.0,10.0,0.0,10,0
SR02019,59.0,Male,Student,7.0,6.5,10.5,6.5,4.0,4.0,,0.0,4.0,,10,1
SR01097,32.0,Male,Business Owner,8.0,4.5,5.5,4.0,3.0,7.0,33.0,4.0,10.0,,9,0
SR00830,20.0,Female,Student,6.0,10.5,12.0,4.5,0.0,4.0,36.0,0.0,4.0,0.0,10,1
SR02806,29.0,Male,Healthcare Worker,7.5,,,1.0,3.0,6.0,26.0,3.0,8.0,1.0,5,0
SR03830,55.0,Male,Business Owner,6.0,6.0,9.0,4.5,2.0,6.0,18.0,6.0,11.0,1.5,10,1
SR04382,32.0,Non-binary,Teacher,5.5,1.0,1.5,2.5,3.0,6.0,29.0,3.0,9.0,1.0,10,1
SR03892,68.0,Female,Teacher,8.5,6.0,7.0,1.5,4.0,5.0,18.0,8.0,11.0,0.5,0,0
SR00765,20.0,Non-binary,Student,7.5,10.0,11.5,5.0,2.0,5.0,53.0,3.0,6.0,0.0,10,1
SR02768,28.0,Non-binary,Business Owner,6.0,7.0,9.0,4.5,4.0,7.0,,3.0,8.0,0.0,10,1
SR04329,72.0,Male,Retired,8.5,4.0,5.5,2.0,2.0,7.0,20.0,3.0,4.0,1.0,4,0
SR03296,20.0,Female,Student,7.0,5.5,8.5,,2.0,6.0,,0.0,6.0,0.5,10,1
SR02195,76.0,Male,Retired,7.5,5.0,5.5,1.0,2.0,7.0,30.0,1.0,2.0,0.0,8,0
SR02358,,Female,Yng Professional,7.0,4.5,4.5,3.0,2.0,8.0,43.0,4.0,11.0,1.5,10,1
SR03426,61.0,Female,Freelancer,6.5,7.5,11.0,5.0,3.0,4.0,24.0,4.0,9.0,0.5,10,1
SR03980,38.0,Female,Freelancer,10.0,5.0,5.0,0.0,7.0,6.0,33.0,4.0,8.0,0.5,6,0
SR00912,40.0,Male,Healthcare Worker,4.5,7.5,8.5,4.0,1.0,8.0,,0.0,12.0,,10,1
SR03146,33.0,Female,Business Owner,4.5,7.0,6.0,1.5,4.0,3.0,23.0,1.0,8.0,1.5,10,1
SR01000,26.0,Non-binary,Healthcare Worker,5.5,8.5,9.0,2.0,3.0,5.0,38.0,3.0,12.0,1.0,10,0
SR03654,55.0,Non-binary,Young Professional,3.0,7.5,10.0,2.0,2.0,7.0,36.0,5.0,10.0,0.5,10,1
SR02484,21.0,Female,Young Professional,8.5,5.0,8.0,2.0,3.0,7.0,48.0,5.0,5.0,1.5,10,1
SR04077,20.0,Male,Student,,10.0,10.5,0.0,0.0,4.0,,3.0,5.0,1.0,10,1
SR02371,19.0,Male,Young Professional,8.5,9.0,13.5,0.0,1.0,7.0,31.0,7.0,10.0,1.0,10,1
SR04839,59.0,Female,Healthcare worker,7.0,1.0,1.0,1.5,0.0,4.0,28.0,3.0,11.0,1.0,8,0
SR00034,33.0,Male,Student,,6.5,9.5,4.0,2.0,6.0,27.0,3.0,8.0,1.5,9,1
SR03790,40.0,Female,Teacher,7.0,1.5,3.5,1.0,1.0,9.0,12.0,,7.0,0.5,6,0
SR01021,25.0,  Male ,Young Professional,5.5,2.5,4.0,4.5,1.0,7.0,28.0,6.0,9.0,1.0,10,1
SR01648,36.0,Female,Teacher,7.0,6.5,10.5,1.5,0.0,6.0,14.0,3.0,12.0,0.5,6,0
SR00734,21.0,Female,Freelancer,6.0,9.0,11.0,1.0,2.0,4.0,31.0,2.0,7.0,1.0,10,1
SR04583,19.0,Female,Student,7.5,10.0,13.0,4.0,0.0,4.0,20.0,0.0,8.0,0.5,10,1
SR03275,21.0,Non-binary,Student,7.5,9.5,,3.0,0.0,7.0,49.0,7.0,10.0,0.0,10,1
SR01621,58.0,Male,Retired,8.5,2.5,2.0,,0.0,9.0,20.0,6.0,2.0,0.0,0,0
SR03136,27.0,Male,Freelancer,5.0,5.5,8.5,3.5,2.0,8.0,18.0,3.0,7.0,0.5,10,1
SR02690,39.0,Female,Retired,7.5,7.0,,2.0,3.0,8.0,34.0,3.0,3.0,0.0,9,0
